Destination,Month,Duration,Age,Gender,Accomodation Style,Budget
New York,December,16,21,Male,Hotel,45498.28
Dublin,August,5,63,Female,Resort,33952.38
Vancouver,April,9,61,Female,Airbnb,17068.52
Dublin,September,6,34,Male,Hostel,7988.37
Copenhagen,October,9,63,Female,Villa,4672.83
Kathmandu,December,6,18,Male,Vacation Rental,16017.19
Vancouver,May,16,22,Female,Villa,10131.14
Marrakech,July,6,26,Female,Villa,32660.87
Rio de Janeiro,February,6,45,Female,Villa,5520.05
Tokyo,August,11,65,Male,Eco-Lodge,36180.35
Auckland,December,18,32,Female,Vacation Rental,7837.68
Salzburg,February,18,55,Male,Hostel,48555.85
Sydney,April,18,25,Female,Eco-Lodge,5860.19
New York,October,8,24,Female,Eco-Lodge,37817.68
Salzburg,December,16,22,Female,Airbnb,23960.22
Rome,December,18,28,Female,Vacation Rental,37246.58
Seoul,May,15,40,Female,Resort,49599.24
Honolulu,July,15,46,Female,Hostel,19941.31
Seoul,February,11,19,Male,Hostel,28004.25
Amsterdam,September,9,61,Female,Hostel,9657.76
London,November,15,50,Male,Hostel,17080.21
Cairo,August,16,54,Female,Eco-Lodge,9215.85
Luxembourg City,August,6,62,Male,Hotel,24636.99
Reykjavik,October,13,45,Male,Resort,11420.04
New York,April,7,53,Male,Eco-Lodge,14091.31
Marrakech,April,6,36,Male,Airbnb,41192.8
Marrakech,May,14,26,Male,Airbnb,13485.22
Edinburgh,March,12,52,Male,Resort,39614.8
Sydney,August,8,50,Female,Hotel,9305.08
Vancouver,June,10,18,Male,Hotel,28324.14
Phuket,July,6,25,Male,Hotel,17219.9
Amsterdam,November,6,41,Female,Airbnb,7719.91
London,January,11,56,Male,Hotel,33172.66
Amsterdam,August,18,55,Female,Hotel,38339.63
Luxembourg City,October,16,29,Male,Resort,35646.81
Cairo,October,6,36,Male,Airbnb,20253.61
Rome,April,10,26,Male,Villa,15424.4
Santorini,May,7,47,Male,Villa,47044.5
Edinburgh,September,16,18,Male,Hostel,11371.96
Dublin,August,13,29,Female,Eco-Lodge,11270.34
London,February,7,39,Female,Eco-Lodge,48783.42
Reykjavik,April,13,45,Female,Villa,15807.76
Vancouver,March,6,30,Male,Hostel,18310.37
Copenhagen,February,17,43,Male,Resort,29013.98
Cancun,November,8,26,Female,Villa,10223.65
Tokyo,July,9,18,Male,Eco-Lodge,33868.88
Barcelona,September,16,47,Female,Villa,19618.67
Santorini,December,14,43,Male,Airbnb,43184.89
Luxembourg City,August,9,49,Female,Resort,7796.41
Tokyo,September,15,25,Female,Hotel,11950.27
Hoi An,May,10,28,Male,Hotel,25051.67
Cancun,October,13,60,Male,Airbnb,22771.77
Hoi An,April,6,37,Female,Eco-Lodge,12668.43
Cartagena,December,15,18,Male,Airbnb,28722.07
Seoul,April,6,30,Female,Eco-Lodge,30240.7
Reykjavik,January,16,51,Female,Hotel,15990.02
